MODEL,ITEM,PARTNUMBER
M4070,ROLO FUSOR,JC6602846A
M-40X0,ROLETE,JC90-01063A
M-40X0,SELO BRANCO,JC63-02984A
M-40X0,SELO PRETO,JC63-02933A
M-40X0,PICKUP ROLLER,JC73-00340A
M-40X0,ROLO FUSOR,JC6602846A
M-40X0,ROLO DE PRESSĂO,JC6601663A
M-40X0,ROLO DE PRESSĂO AUX.,JC6601664A
M-40X0,BANDEJA,JC90-01143B
M-40X0,FRAME - GUIA DE SAIDA,JC93-00334A
M-40X0,TERMISTOR,1404-001640
M-40X0,TERMOSTATO,4712-001091
M-40X0,TAMPA FRONTAL COMPLETA - M4070/M4020,JC95-01840C
M-40X0,TAMPA TRASEIRA,JC95-01303C
M-40X0,BANDEJA MANUAL,JC90-01037B
M-4070 - 5637,PLACA FONTE - M4070/SCX-5637,JC44-00097E
M-40X0,TAMPA TRASEIRA,JC95-01303C
M-40X0,GUIA DO SEPARADOR DE PAGINAS,JC90-01279B
M-4070,CCD,609001408
M-4070,CABO FLAT DO SCANNER,JC3902022A
SCX-4833,DOBRADICA DO ADF,JC9703191A
M-4020,PLACA FONTE - M4020,JC4400095D
M-40X0,PLACA DE ALTA,JC4400197A
M-4070,PLACA LOGICA,JC9202885A
M-4070,DOBRADIÇA ESQUERDA,JC97-04198A
M-4070,DOBRADIÇA DIREITA,JC97-04197A
M-4070,PAINEL (COMPLETO),JC97-04321V
M-4070,PAINEL (PLACA),JC92-02522A
M-4070,BOTOES DE AÇĂO (START/STOP, POWER E ETC),JC61-05625A
M-40X0,SUPORTE DO ROLETE DA BANDEJA,JC90-01279B
M-40X0,ALAVANCA DA BANDEJA FRONTAL - SCX-4833/M-4070/4020,JC6602086A
SCX-4833,PLACA LOGICA (REDE),JC9202351A
M-40X0,MP,JC90-01043C
M-40X0,TAMPA FRONTAL (SEM BAND MANUAL) - M4070/M4020,JC6304134A
M-40X0,FUSOR COMPLETO,JC9101023A
SCX-4833,PAINEL,JC9703892A
M-40X0,LASER,JC9704065A
SCX-4833,CCD,609001409
SCX-4833,FLAT DO CCD,JC3901490A
SCX-5637,CCD,609001408
SCX-5637,FLAT DO CCD,JC3901489A
SCX-4833,FUSOR COMPLETO,JC9101023A
SCX-4833,PLACA FONTE,JC44-00095D
M-4070,ROLO FUSOR,JC9101023A
ML-3710,BANDEJA 1 - ML3710,JC9001036A
ML-3710,TAMPA FRONTAL - ML3710,JC6302897A
M4080,BANDEJA 1,JC9001527A
ML-3710,MOLAS DE SUPORTE DO SEPARADOR DE FOLHAS,6107-001287
ML-3710,SUPORTE ALMOFADA BANDEJA,JC63-02917A
M-4070,PICKUP ROLLER DO ADF,JC9704199A
M-40X0,MOLAS DE SUPORTE DO SEPARADOR DE FOLHAS,6107-002779
SCX5637,PLACA FONTE,JC44-00097E
M-4070,PLACA LOGICA - PBA MAIN - M4070 - REDE,JC92-02885A
M-4070,GUIA TRASEIRO DA BANDEJA,JC9001105C
M-40X0,BANDEJA MANUAL (SEM O FRAME E ALAVANCA),JC90-01037B
M-40X0,PUXADOR FRONTAL DA GAVETA,JC64-00890A
